colegiado;link
"Comissão de Cultura e Extensão Universitária (CCEx)";"https://portalservicos.usp.br/mandato/45/CCEX?embedded"
"Comissão de Graduação (CG)";"https://portalservicos.usp.br/mandato/45/CG?embedded"
"Congregação";"https://portalservicos.usp.br/mandato/45/CONGREG?embedded"
"Comissão de Pós-Graduação (CPG)";"https://portalservicos.usp.br/mandato/45/CPG?embedded"
"Conselho Técnico Administrativo (CTA)";"https://portalservicos.usp.br/mandato/45/CTA?embedded"
"Comissão Coordenadora do Programa de Matemática Aplicada (CCP)";"https://portalservicos.usp.br/mandato/4503/CCP?embedded"
"Comissão Coordenadora do Programa de Probabilidade e Estatística (CCP)";"https://portalservicos.usp.br/mandato/4504/CCP?embedded"
"Comissão Coordenadora do Programa de Ciência da Computação (CCP)";"https://portalservicos.usp.br/mandato/4505/CCP?embedded"
"Comissão de Relações Internacionais (CRInt)";"https://portalservicos.usp.br/mandato/45/CRInt?embedded"
"Comissão Coordenadora do Programa de Matemática (CCP)";"https://portalservicos.usp.br/mandato/4502/CCP?embedded"
"Comissão Coordenadora do Programa de Ensino de Matemática (CCP)";"https://portalservicos.usp.br/mandato/4506/CCP?embedded"
"Comissão de Pesquisa e Inovação (CPqI)";"https://portalservicos.usp.br/mandato/45/CPq?embedded"
"Conselho do Departamento de Ciência da Computação - MAC";"https://portalservicos.usp.br/mandato/1664/CoDepto?embedded"
"Conselho do Departamento de Estatística - MAE";"https://portalservicos.usp.br/mandato/1665/CoDepto?embedded"
"Conselho do Departamento de Matemática Aplicada - MAP";"https://portalservicos.usp.br/mandato/1666/CoDepto?embedded"
"Conselho do Departamento de Matemática - MAT";"https://portalservicos.usp.br/mandato/1667/CoDepto?embedded"
"Comissão Coordenadora do Curso de Bacharelado em Ciência da Computação (CoC)";"https://portalservicos.usp.br/mandato/91/CoC?embedded"
"Comissão Interna de Prevenção de Acidentes (CIPA)";"https://portalservicos.usp.br/mandato/45/CIPA?embedded"
"Comissão Coordenadora do Curso de Licenciatura em Matemática (CoC)";"https://portalservicos.usp.br/mandato/130/CoC?embedded"
"Comissão Coordenadora do Curso de Bacharelado em Matemática Aplicada e Computacional (CoC)";"https://portalservicos.usp.br/mandato/131/CoC?embedded"
"Comissão Coordenadora do Curso de Bacharelado em Matemática Aplicada (CoC)";"https://portalservicos.usp.br/mandato/132/CoC?embedded"
"Comissão Coordenadora do Curso de Bacharelado em Matemática (CoC)";"https://portalservicos.usp.br/mandato/134/CoC?embedded"
"Comissão Coordenadora do Curso de Bacharelado em Estatística (CoC)";"https://portalservicos.usp.br/mandato/133/CoC?embedded"
"Comissão de Monitoria - CM";"https://portalservicos.usp.br/mandato/97/CGen?embedded"
"Comissão dos Cursos de Verão - CCV";"https://portalservicos.usp.br/mandato/96/CGen?embedded"
"São Paulo Journal of Mathematical Sciences - SPJM";"https://portalservicos.usp.br/mandato/95/CGen?embedded"
"Comissão de Estágios - CE";"https://portalservicos.usp.br/mandato/98/CGen?embedded"
"Centro de Aperfeiçoamento de Ensino de Matemática - CAEM";"https://portalservicos.usp.br/mandato/99/CGen?embedded"
"Centro de Competência em Software Livre - CCSL";"https://portalservicos.usp.br/mandato/100/CGen?embedded"
"Centro de Estatística Aplicada - CEA";"https://portalservicos.usp.br/mandato/101/CGen?embedded"
"Centro de Ensino de Computação - CEC";"https://portalservicos.usp.br/mandato/102/CGen?embedded"
"Centro de Difusão e Ensino de Matemática - MATEMATECA";"https://portalservicos.usp.br/mandato/103/CGen?embedded"
"Centro Interunidade de História da Ciência - CHC";"https://portalservicos.usp.br/mandato/104/CGen?embedded"
"Comissão de Acolhimento da Mulher - CAM";"https://portalservicos.usp.br/mandato/105/CGen?embedded"
"Comissão de Informática - CI";"https://portalservicos.usp.br/mandato/108/CGen?embedded"
"Comissão para Distribuição de Cargos de Professor Titular";"https://portalservicos.usp.br/mandato/109/CGen?embedded"
"Comissão de Inclusão e Pertencimento (CIP)";"https://portalservicos.usp.br/mandato/45/CIP?embedded"
"Comissão Coordenadora da Biblioteca do IME";"https://portalservicos.usp.br/mandato/45/CBib?embedded"
"Comissão de Comunicação - COMUNICA";"https://portalservicos.usp.br/mandato/129/CGen?embedded"
"Conselho Deliberativo do Fundo Yablonowsky - CGFY";"https://portalservicos.usp.br/mandato/3477/CoDelib?embedded"
"Comissão Editorial do IME";"https://portalservicos.usp.br/mandato/145/CGen?embedded"
"Designação dos Membros da Comissão de Horários - CH";"https://portalservicos.usp.br/mandato/157/CGen?embedded"
"Programa de Aperfeiçoamento de Ensino - PAE";"https://portalservicos.usp.br/mandato/163/CGen?embedded"
"Subcomissão de Gestão da Comunicação";"https://portalservicos.usp.br/mandato/171/CGen?embedded"
"Subcomissão Acadêmica da Comunicação";"https://portalservicos.usp.br/mandato/172/CGen?embedded"
"Comissão de Heteroidentificação";"https://portalservicos.usp.br/mandato/197/CGen?embedded"
